name,nodelist,count,notes
libwebp,"[{""name"":libwebp,""pkgman"":VCPKG},{""name"":libwebp,""pkgman"":Cargo},{""name"":libwebp,""pkgman"":Chromebrew},{""name"":libwebp,""pkgman"":Conan}]",4,
libwebsockets,"[{""name"":libwebsockets,""pkgman"":VCPKG},{""name"":libwebsockets,""pkgman"":Conan},{""name"":libwebsockets,""pkgman"":Homebrew}]",3,
libxdiff,"[{""name"":libxdiff,""pkgman"":VCPKG},{""name"":libxdiff,""pkgman"":Homebrew}]",2,
libxlsxwriter,"[{""name"":libxlsxwriter,""pkgman"":VCPKG},{""name"":libxlsxwriter,""pkgman"":Conan},{""name"":libxlsxwriter,""pkgman"":Homebrew}]",3,
libxml2,"[{""name"":libxml2,""pkgman"":VCPKG},{""name"":libxml2,""pkgman"":Chromebrew},{""name"":libxml2,""pkgman"":Conan},{""name"":libxml2,""pkgman"":Homebrew}]",4,
libxmp-lite,"[{""name"":libxmp-lite,""pkgman"":VCPKG},{""name"":libxmp-lite,""pkgman"":Homebrew}]",2,
libxslt,"[{""name"":libxslt,""pkgman"":VCPKG},{""name"":libxslt,""pkgman"":Cargo},{""name"":libxslt,""pkgman"":Chromebrew},{""name"":libxslt,""pkgman"":Conan},{""name"":libxslt,""pkgman"":Homebrew}]",5,
libyaml,"[{""name"":libyaml,""pkgman"":VCPKG},{""name"":libyaml,""pkgman"":Cargo},{""name"":libyaml,""pkgman"":Chromebrew},{""name"":libyaml,""pkgman"":Conan},{""name"":libyaml,""pkgman"":Homebrew}]",5,
libyuv,"[{""name"":libyuv,""pkgman"":VCPKG},{""name"":libyuv,""pkgman"":Chromebrew},{""name"":libyuv,""pkgman"":Conan}]",3,
libzen,"[{""name"":libzen,""pkgman"":VCPKG},{""name"":libzen,""pkgman"":Conan}]",2,
libzip,"[{""name"":libzip,""pkgman"":VCPKG},{""name"":libzip,""pkgman"":Chromebrew},{""name"":libzip,""pkgman"":Conan},{""name"":libzip,""pkgman"":Homebrew}]",4,
libzippp,"[{""name"":libzippp,""pkgman"":VCPKG},{""name"":libzippp,""pkgman"":Conan}]",2,
lilv,"[{""name"":lilv,""pkgman"":VCPKG},{""name"":lilv,""pkgman"":Cargo},{""name"":lilv,""pkgman"":Chromebrew},{""name"":lilv,""pkgman"":Homebrew}]",4,
linalg,"[{""name"":linalg,""pkgman"":VCPKG},{""name"":linalg,""pkgman"":Cargo},{""name"":linalg,""pkgman"":Nimble}]",3,
live555,"[{""name"":live555,""pkgman"":VCPKG},{""name"":live555,""pkgman"":Chromebrew}]",2,
llvm,"[{""name"":llvm,""pkgman"":VCPKG},{""name"":llvm,""pkgman"":Cargo},{""name"":llvm,""pkgman"":Chromebrew},{""name"":llvm,""pkgman"":Homebrew}]",4,
lmdb,"[{""name"":lmdb,""pkgman"":VCPKG},{""name"":lmdb,""pkgman"":Cargo},{""name"":lmdb,""pkgman"":Chromebrew},{""name"":lmdb,""pkgman"":Conan},{""name"":lmdb,""pkgman"":Homebrew},{""name"":lmdb,""pkgman"":Nimble}]",6,
lodepng,"[{""name"":lodepng,""pkgman"":VCPKG},{""name"":lodepng,""pkgman"":Conan},{""name"":lodepng,""pkgman"":Cargo}]",3,
log4cplus,"[{""name"":log4cplus,""pkgman"":VCPKG},{""name"":log4cplus,""pkgman"":Chromebrew},{""name"":log4cplus,""pkgman"":Conan},{""name"":log4cplus,""pkgman"":Homebrew}]",4,
log4cpp,"[{""name"":log4cpp,""pkgman"":VCPKG},{""name"":log4cpp,""pkgman"":Homebrew}]",2,
log4cxx,"[{""name"":log4cxx,""pkgman"":VCPKG},{""name"":log4cxx,""pkgman"":Conan},{""name"":log4cxx,""pkgman"":Homebrew}]",3,
lua,"[{""name"":lua,""pkgman"":VCPKG},{""name"":lua,""pkgman"":Cargo},{""name"":lua,""pkgman"":Chromebrew},{""name"":lua,""pkgman"":Conan},{""name"":lua,""pkgman"":Homebrew},{""name"":lua,""pkgman"":Nimble}]",6,
luajit,"[{""name"":luajit,""pkgman"":VCPKG},{""name"":luajit,""pkgman"":Cargo},{""name"":luajit,""pkgman"":Chromebrew},{""name"":luajit,""pkgman"":Conan},{""name"":luajit,""pkgman"":Homebrew}]",5,
lv2,"[{""name"":lv2,""pkgman"":VCPKG},{""name"":lv2,""pkgman"":Cargo},{""name"":lv2,""pkgman"":Chromebrew},{""name"":lv2,""pkgman"":Homebrew}]",4,
